Date,ABG Returns,AFE Returns,AFX Returns,AVI Returns,BVT Returns,FSR Returns,LBH Returns,NED Returns,NTC Returns,PIK Returns,RLO Returns,SBK Returns,SHP Returns,TBS Returns,WHL Returns
1999-01-01,0.17562724014336917,-0.1333333333333333,0.07428571428571429,0.20967741935483875,0.08180300500834714,0.20329670329670324,0.09329446064139946,0.2075848303393213,0.010752688172043001,0.05263157894736836,-0.08536585365853655,0.04444444444444451,0.03658536585365857,0.03103449455177043,0.06896551724137923
1999-01-04,0.11578947368421044,0.0,0.08955223880597019,0.23199999999999998,0.12113402061855671,0.22201492537313428,0.10717796460176987,0.16862745098039222,0.1428571428571428,0.06140350877192979,-0.05625000000000002,0.03888888888888897,0.030303030303030276,-0.008333313375774476,0.12949640287769792
1999-01-05,0.0939130434782609,0.04166666666666674,0.08955223880597019,0.0625,0.10120068610634658,0.17582417582417587,0.1229105162241888,0.11676082862523551,0.07526881720430101,0.06956521739130439,-0.05500000000000005,0.02499999999999991,0.030674846625766916,0.0016806524598191874,0.1272727272727272
1999-01-06,-0.04590163934426228,-0.006993006993006978,0.02857142857142847,-0.1333333333333333,-0.03403565640194495,-0.041935483870967794,-0.014869893191774675,-0.032590051457976,0.0,0.0016666666666667052,-0.060869565217391286,-0.1282051282051282,-0.0892857142857143,-0.04173623057108444,-0.033333333333333326
1999-01-07,-0.1384615384615384,0.0185185185185186,-0.013698630136986356,-0.1777777777777778,-0.04889589905362779,-0.0628019323671497,-0.02972972972972976,-0.061433447098976135,-0.03260869565217395,-0.024193548387096753,-0.018750000000000044,-0.05434782608695654,-0.0650887573964497,-0.040404037748026034,-0.049180327868852514
1999-01-08,-0.17987804878048785,0.07692307692307687,-0.04255319148936165,-0.2222222222222222,-0.0478395061728395,-0.1582952815829528,-0.05422222666666665,-0.11239669421487608,-0.0957446808510638,-0.0016666666666667052,0.028000000000000025,-0.14095744680851063,-0.09411764705882353,-0.013377925547870873,-0.08709677419354833
1999-01-11,-0.07232704402515722,-0.00666666666666671,0.013698630136986356,-0.2272727272727273,-0.020689655172413834,-0.11145038167938937,-0.033747775610548536,-0.07214765100671139,-0.21153846153846156,0.024793388429751984,0.02251655629139071,-0.0802139037433155,-0.07058823529411762,0.00840334105014895,-0.07961783439490444
1999-01-12,-0.020667726550079535,0.10666666666666669,0.0,-0.14823529411764713,0.014797507788161912,-0.05919003115264798,-0.049036773419600665,-0.042158516020236125,-0.18000000000000005,0.026016260162601723,0.0185185185185186,-0.07046070460704612,-0.0714285714285714,0.006711409044210637,-0.14516129032258063
1999-01-13,0.04467353951890041,0.323943661971831,0.04166666666666674,-0.07692307692307687,0.09647651006711411,-0.010101010101010055,0.01415094352972579,0.0017730496453900457,-0.08602150537634412,0.048252911813643884,0.011904761904761862,0.002941176470588225,0.006535947712418277,0.04529615056066749,-0.10344827586206895
1999-01-14,0.06785714285714284,0.2727272727272727,0.02083333333333326,-0.027027027027026973,0.07048092868988398,-0.0017182130584192379,-0.0027855153203342198,0.021818181818181737,0.011235955056179803,0.04132231404958686,-0.03821656050955413,-0.02298850574712641,-0.05063291139240511,0.0,-0.12758620689655176
1999-01-15,0.044609665427509215,0.2857142857142858,0.0,0.08571428571428563,0.0,0.018083182640144635,-0.008458646656290592,0.027932960893854775,0.0117647058823529,0.03505843071786319,-0.05188067444876787,0.037151702786377694,-0.025974025974025983,-0.04237288516981186,-0.08127208480565373
1999-01-18,-0.016949152542372836,0.17449664429530198,-0.04054054054054057,0.022408963585434316,-0.035993740219092296,-0.012027491408934665,-0.048713230922395434,0.003616636528029016,0.024390243902439046,0.008064516129032251,-0.041450777202072575,-0.023255813953488413,-0.05063291139240511,-0.09333332847410158,-0.10034602076124566
1999-01-19,-0.06331168831168832,0.024096385542168752,-0.013698630136986356,0.011049723756906049,-0.04834996162701455,-0.0629139072847682,-0.046961325966850875,-0.015845070422535246,0.03658536585365857,-0.0015847860538826808,-0.025974025974025983,-0.023323615160349864,-0.019230769230769273,-0.11166665434504341,0.0
1999-01-20,-0.041118421052631526,-0.058510638297872286,-0.013333333333333308,0.04166666666666674,-0.028309104820198883,0.010204081632652962,-0.03813953058734443,0.04424778761061954,0.08235294117647052,0.031746031746031855,-0.013071895424836555,0.0674486803519061,0.027272727272727337,-0.09166665538630736,0.11538461538461542
1999-01-21,0.013377926421404673,-0.04395604395604391,0.020408163265306145,0.06944444444444442,0.0,0.03958691910499135,-0.04562384078212289,0.09608540925266906,0.04444444444444451,0.04761904761904767,0.0066225165562914245,0.12058823529411766,0.040000000000000036,-0.00701754337891769,0.23320158102766797
1999-01-22,0.0587188612099645,-0.05555555555555558,0.18055555555555558,0.013157894736842035,0.072933549432739,0.09946714031971582,-0.033175350868129616,0.10869565217391308,0.04651162790697683,0.09677419354838701,0.039671682626539084,0.13134328358208958,0.040000000000000036,-0.008849563882730505,0.28076923076923066
1999-01-25,0.022413793103448265,-0.017142857142857126,0.15492957746478875,0.027397260273972712,0.08198051948051943,0.06434782608695655,-0.004830927536231933,0.10810810810810811,0.1071428571428572,0.10400000000000009,0.013513513513513598,0.12797619047619047,0.040000000000000036,0.011029425487028677,0.3153846153846154
1999-01-26,0.017331022530329365,0.04117647058823537,0.11111111111111116,-0.002732240437158473,0.07499999999999996,0.06537102473498235,-0.006763289855072463,0.10912343470482999,0.10588235294117654,0.06349206349206349,-0.00666666666666671,0.10447761194029859,-0.019607843137254943,0.009380869746850484,0.2075471698113207
